seed,data_idx,elbo,msep,msep from mode,log_prob
0,0,-10798.436402327685,0.0089637350873838,0.0107307016057593,3498.293593259994
0,0,-10798.436402327685,0.0089637350873838,0.0107307016057593,3498.293593259994
0,1,-10777.012274038188,0.0074120554069296,0.0088999660075834,3516.228441509417
0,2,-10734.521029301466,0.00858471184804,0.0102120496178697,3519.8867192437456
0,3,-10812.111710146944,0.0079569306591079,0.0095889377676062,3495.6061693918355
0,4,-10651.664450511722,0.0077512657820745,0.0093063878311354,3508.3740522476537
0,5,-10980.344241113607,0.0089210190232352,0.0106402031251421,3519.675089141304
0,6,-10736.843895035538,0.00756109029162,0.0093091410138425,3456.55516608412
0,7,-10809.847978447446,0.0071683037360777,0.0086266442300387,3504.7177792234343
0,8,-10633.316629884552,0.0075242128530966,0.0089099039492242,3554.9577865270576
0,9,-10981.60974170697,0.0096217399627476,0.0114391815181229,3509.94175549856
1,0,-10798.436402327685,0.0089637350873838,0.0107307016057593,3498.293593259994
1,1,-10777.012274038188,0.0074120554069296,0.0088999660075834,3516.228441509417
1,2,-10734.521029301466,0.00858471184804,0.0102120496178697,3519.8867192437456
1,3,-10812.111710146944,0.0079569306591079,0.0095889377676062,3495.6061693918355
1,4,-10651.664450511722,0.0077512657820745,0.0093063878311354,3508.3740522476537
1,5,-10980.344241113607,0.0089210190232352,0.0106402031251421,3519.675089141304
1,6,-10736.843895035538,0.00756109029162,0.0093091410138425,3456.55516608412
1,7,-10809.847978447446,0.0071683037360777,0.0086266442300387,3504.7177792234343
1,8,-10633.316629884552,0.0075242128530966,0.0089099039492242,3554.9577865270576
1,9,-10981.60974170697,0.0096217399627476,0.0114391815181229,3509.94175549856
2,0,-10798.436402327685,0.0089637350873838,0.0107307016057593,3498.293593259994
2,1,-10777.012274038188,0.0074120554069296,0.0088999660075834,3516.228441509417
2,2,-10734.521029301466,0.00858471184804,0.0102120496178697,3519.8867192437456
2,3,-10812.111710146944,0.0079569306591079,0.0095889377676062,3495.6061693918355
2,4,-10651.664450511722,0.0077512657820745,0.0093063878311354,3508.3740522476537
2,5,-10980.344241113607,0.0089210190232352,0.0106402031251421,3519.675089141304
2,6,-10736.843895035538,0.00756109029162,0.0093091410138425,3456.55516608412
2,7,-10809.847978447446,0.0071683037360777,0.0086266442300387,3504.7177792234343
2,8,-10633.316629884552,0.0075242128530966,0.0089099039492242,3554.9577865270576
2,9,-10981.60974170697,0.0096217399627476,0.0114391815181229,3509.94175549856
3,0,-10798.436402327685,0.0089637350873838,0.0107307016057593,3498.293593259994
3,1,-10777.012274038188,0.0074120554069296,0.0088999660075834,3516.228441509417
3,2,-10734.521029301466,0.00858471184804,0.0102120496178697,3519.8867192437456
3,3,-10812.111710146944,0.0079569306591079,0.0095889377676062,3495.6061693918355
3,4,-10651.664450511722,0.0077512657820745,0.0093063878311354,3508.3740522476537
3,5,-10980.344241113607,0.0089210190232352,0.0106402031251421,3519.675089141304
3,6,-10736.843895035538,0.00756109029162,0.0093091410138425,3456.55516608412
3,7,-10809.847978447446,0.0071683037360777,0.0086266442300387,3504.7177792234343
3,8,-10633.316629884552,0.0075242128530966,0.0089099039492242,3554.9577865270576
3,9,-10981.60974170697,0.0096217399627476,0.0114391815181229,3509.94175549856
4,0,-10798.436402327685,0.0089637350873838,0.0107307016057593,3498.293593259994
4,1,-10777.012274038188,0.0074120554069296,0.0088999660075834,3516.228441509417
4,2,-10734.521029301466,0.00858471184804,0.0102120496178697,3519.8867192437456
4,3,-10812.111710146944,0.0079569306591079,0.0095889377676062,3495.6061693918355
4,4,-10651.664450511722,0.0077512657820745,0.0093063878311354,3508.3740522476537
4,5,-10980.344241113607,0.0089210190232352,0.0106402031251421,3519.675089141304
4,6,-10736.843895035538,0.00756109029162,0.0093091410138425,3456.55516608412
4,7,-10809.847978447446,0.0071683037360777,0.0086266442300387,3504.7177792234343
4,8,-10633.316629884552,0.0075242128530966,0.0089099039492242,3554.9577865270576
4,9,-10981.60974170697,0.00962173996274767,0.011439181518122905,3509.9417554985594
