seed,data_idx,elbo test,msep,msep from mode,log_prob
0,0,21063.46864828249,0.011332514176754,0.0113191253897229,679.2711729041157
0,0,21063.46864828249,0.011332514176754,0.0113191253897229,679.2711729041157
0,1,21027.5041104749,0.0116939593271413,0.0116900255689164,693.0139701784005
0,0,21063.46864828249,0.011332514176754,0.0113191253897229,679.2711729041157
0,1,21027.5041104749,0.0116939593271413,0.0116900255689164,693.0139701784005
0,2,20890.65858559391,0.0107147877447222,0.0107139427626996,684.9594373712376
0,3,20739.67255524625,0.010891198916434,0.0108805572010823,683.6041300868628
0,4,21986.906975730897,0.0125617876654387,0.0125520670709959,701.5644859267727
0,5,22609.175538860683,0.0149480410890384,0.0149407798545159,696.3926634218892
0,6,21001.954201707053,0.0105307737991344,0.0105481198006059,692.7867312590411
0,7,22603.201290641173,0.0136478026187763,0.0136432499412338,696.2106792369746
0,8,22368.567867660666,0.013935263435915,0.013920390537701,693.4813625386712
0,9,21925.66766147104,0.0140690520034692,0.0140562595416618,687.6871342145976
1,0,21062.26767487976,0.0113435312979751,0.0113301426893598,677.7103184591472
1,1,21027.47481958564,0.0116149213139987,0.0116107361042709,693.2712191166263
1,2,20890.55901678538,0.010692754224926,0.0106918333641563,684.356583620837
1,3,20740.028841716743,0.0108984706544523,0.0108881925859173,684.2679319830952
1,4,21986.83767074071,0.0125514604348767,0.0125417937360844,701.3428919794119
1,5,22609.030884575663,0.0150505084317326,0.0150431371798448,696.1279508214147
1,6,21002.383721474896,0.01051016511129,0.0105271147398203,693.1131235211408
1,7,22602.788405519364,0.0135792291878219,0.0135745751082533,695.2271462479835
1,8,22368.75389346558,0.0139604119358344,0.0139456955173596,693.8238506201458
1,9,21925.29654819165,0.0141152303474918,0.0141025295619582,686.9946870395698
2,0,18964.635063692705,0.0114557931831981,0.0114417132996428,693.241970914856
2,1,21028.324401565184,0.0117047886946648,0.0117010449665041,694.0834827078017
2,2,18787.41453643359,0.0107285896554703,0.0107213528220304,697.2887927509419
2,3,18640.579559166083,0.0109239730996078,0.0109119860900552,698.7823501298444
2,4,21986.33333938949,0.0125852886476,0.0125758145527547,701.480154143921
2,5,22611.557413796727,0.01499823917246,0.0149910477333227,699.7995602390774
2,6,18884.13085873572,0.0102450504373287,0.0102543007240577,705.3365295893259
2,7,22602.58336506029,0.0136380236388332,0.0136333696996403,695.0029450810216
2,8,20248.30278822073,0.0139252088807954,0.0139116085989078,707.5762691729551
2,9,21925.190816589347,0.0141541770919536,0.014141472698911,686.2846465696739
3,0,21062.58144981217,0.0113254916190901,0.0113120461309252,678.1681882501248
3,1,21025.849412920456,0.0116581069842564,0.0116542188619602,692.1375960521916
3,2,20890.673480149493,0.010723675538966,0.0107231484756297,684.3736575896423
3,3,20739.6445230888,0.0108781167122207,0.0108675290520378,683.7598899321438
3,4,21988.375237570548,0.0125421296058041,0.0125327411540603,704.0656679620224
3,5,22609.243350975787,0.0150150546796463,0.0150077438642269,696.2567722024537
3,6,21002.38595503301,0.0105280808939095,0.0105444839464989,693.4754561761238
3,7,22604.91376915253,0.013624090187263,0.013619704544017,699.6121607626228
3,8,22369.06662704984,0.0139215792808029,0.0139071134797376,694.3483323491703
3,9,21927.11617669643,0.0141160752603897,0.0141039235241914,690.7843721611104
4,0,21062.76480904383,0.0113340256262727,0.0113205712093924,678.5722254064087
4,1,21026.36182049367,0.0116553617953624,0.0116517174665453,692.3614326842446
4,2,20890.21119021875,0.0107694587839182,0.0107688326372641,684.7447413786053
4,3,18642.525548192625,0.0109127656540981,0.0109007438034154,698.1308422473417
4,4,19866.52792378003,0.0124852956100614,0.0124754048103732,712.3894060325333
4,5,20488.16583555879,0.0150269559669457,0.0150199120602616,711.5034779501816
4,6,18885.59112196401,0.0102367163795013,0.0102458253039662,705.5510535889734
4,7,20474.76429391937,0.0136391384325965,0.0136340436416127,707.7024443181153
4,8,22369.628904442,0.0138987823512849,0.0138839782737346,695.7454310065391
4,9,19813.48173214389,0.0141473585883191,0.0141344756954911,701.9761887869415
0,0,21063.468648282498,0.011332514176754092,0.01131912538972292,679.2711729041157
