seed,data_idx,elbo test,accuracy,log_prob
0,0,-172575.1680576593,0.7142857313156128,-27.258991095164745
0,1,-171818.7243770003,0.5714285969734192,-50.16132021717972
0,2,-172672.91158663598,0.5714285969734192,-53.23456135404287
0,3,-173645.91115574093,0.5714285969734192,-45.67288739640336
0,4,-174450.28334388143,0.5714285969734192,-85.68577185336201
0,5,-172461.47832181794,0.4285714328289032,-100.53407253633802
0,6,-172914.0607240537,0.8571428656578064,-30.01249381952389
0,7,-171719.52679701825,0.5714285969734192,-55.066696912665
0,8,-171479.909273382,0.4285714328289032,-54.39043175889495
0,9,-172608.59821198662,0.7142857313156128,-28.709362267766007
1,0,-172575.11976460385,0.7142857313156128,-32.61819911290687
1,1,-171818.7481162767,0.5714285969734192,-42.85322641762178
1,2,-172672.92131667442,0.5714285969734192,-44.4821690619284
1,3,-173645.89767130278,0.5714285969734192,-41.84027500418939
1,4,-174029.9146181902,0.7142857313156128,-31.041365462902284
1,5,-172461.47651697733,0.4285714328289032,-77.4436428998068
1,6,-173257.3784975463,0.7142857313156128,-35.30793376777338
1,8,-171479.89833914884,0.4285714328289032,-52.36184360830406
1,9,-172608.53181134493,0.7142857313156128,-36.0373915359658
2,0,-172575.1345189545,0.7142857313156128,-32.36052500901028
2,1,-171818.7657639536,0.5714285969734192,-43.82567894595508
2,2,-172672.9749804853,0.5714285969734192,-35.239169555997975
2,3,-173645.9267573609,0.5714285969734192,-38.969525561248304
2,4,-174450.27088453877,0.5714285969734192,-79.33419355663068
2,5,-172461.46460158896,0.4285714328289032,-78.11720333020455
2,6,-172914.07128727186,0.8571428656578064,-19.94601994704171
2,7,-171589.40931158417,0.4285714328289032,-116.87648154087928
2,8,-171479.90150022577,0.4285714328289032,-45.37757694884853
2,9,-172608.53343151457,0.7142857313156128,-30.52975251382205
3,0,-172575.14380351195,0.7142857313156128,-30.829410091621124
3,1,-171818.77513649152,0.5714285969734192,-39.137798525187165
3,2,-172672.9148956975,0.5714285969734192,-44.14254917630723
3,3,-173645.90881078542,0.5714285969734192,-38.97739118709727
3,4,-174450.3677362427,0.5714285969734192,-40.61546262648513
3,5,-172461.47642839755,0.4285714328289032,-78.40375792051802
3,6,-172914.0484592051,0.8571428656578064,-36.0436701815574
3,7,-171589.3888139131,0.4285714328289032,-117.48945255235289
3,8,-171479.9106295821,0.4285714328289032,-49.90128542441215
3,9,-172608.52929029622,0.7142857313156128,-36.27065738135095
4,0,-172575.12490009525,0.7142857313156128,-30.8176770402545
4,1,-171818.73309613136,0.5714285969734192,-47.79683131234427
4,2,-172672.8988235233,0.5714285969734192,-60.41729513766314
4,3,-173645.894218854,0.5714285969734192,-48.21292164695142
4,4,-174029.84877902144,0.7142857313156128,-29.35210259873049
4,5,-172461.5175630873,0.4285714328289032,-68.62123196335801
4,6,-172914.07356217568,0.8571428656578064,-24.39533153478286
4,7,-171589.38095929683,0.4285714328289032,-121.0703256778951
4,8,-171479.8415381094,0.4285714328289032,-45.20045650219805
4,9,-172608.5977136704,0.7142857313156128,-30.0007427990006
