seed,data_idx,elbo,msep,msep from mode,log_prob
3,0,15840.681687384378,0.000306422774632,0.000308317085467,7551.422202886573
3,8,16777.107849213295,0.0003395119604044,0.0003416484638695,7531.783337795874
3,1,16566.064892907627,0.0003410654665294,0.0003437972669392,7526.101799224019
3,9,15886.021790995264,0.0003338308133192,0.000335407996463,7427.691838279067
3,2,16936.76700086333,0.0016291760311957,0.001655794948636,7567.480973175336
4,5,15851.89643611433,0.0003818252664399,0.0003852259880143,7493.142739716083
3,3,15858.055837951137,0.0056528739132397,0.0057235049107803,7481.023131283114
4,6,16313.521298271138,0.0003377136556828,0.0003414162778863,7351.24731590101
3,4,16069.473314399364,0.0003239950839115,0.0003252768760286,7604.654179843825
4,7,16233.723238873295,0.000342215224745,0.0003450552958572,7409.6446311870495
4,8,15324.391216526274,0.0014009974840001,0.0014127148161178,7532.592045335822
4,0,16948.89261528151,0.0003669834106894,0.0003708817551758,7254.913220054466
4,9,16489.046138351317,0.0003487276601454,0.0003515718167317,7212.181629529805
4,1,16759.493396363687,0.0003421300963131,0.0003446280579339,7290.934906523881
5,5,16542.194272267632,0.0015311385670895,0.0015488866112777,7616.485868943744
4,2,16724.16231914144,0.002717869006162,0.0027449197609104,7091.309020506264
5,6,16156.59619900491,0.0025902882733045,0.0026184891049022,7827.784407222257
4,3,16484.767028343398,0.0003378156324707,0.0003412034663124,7363.408737469826
5,7,17295.45643609669,0.0009893416856216,0.000997845256695,7796.568693406832
4,4,16217.710703530814,0.0015080729925731,0.00153473151497,7369.574232579249
5,8,16058.303051122,0.0010389941415,0.0010472132749987,7673.692478850426
5,0,16467.255615742877,0.0003033155760574,0.0003050858954653,7724.479486966251
5,9,15438.866763922386,0.0017072425680674,0.0017276905067877,7514.675828515554
5,1,16010.94990522787,0.0003257204640173,0.0003271304421201,7799.0824595468175
6,5,16720.363265537657,0.0029547191113903,0.0029788072894034,7358.846130841592
5,2,16684.229434203357,0.0036834236104711,0.00370231855494,7842.464595161701
