seed,data_idx,elbo train,elbo test,msep,msep from mode,log_prob
5,0.0,13203.375147610905,32972.33717483934,0.0024999183830087,0.0024987585102977,613.7807661279621
3,0.0,13203.91914276965,32950.85376026761,0.0024857868262751,0.0024840124176527,595.11844684467
4,,,,,,
5,1.0,6359.154521050281,16151.79308509268,0.0098507653916497,0.0098523208212915,453.0645741250112
1,0.0,5663.2162222815095,16995.512595721288,0.0104214084985663,0.0104176599586005,452.5235240892662
4,0.0,5673.026967799116,16993.718792474363,0.0103917080196909,0.0103877555462561,452.4424511875948
5,2.0,15997.203594009392,38280.84796851687,0.0014552965176355,0.0014466273236961,546.2776873887151
0,1.0,6364.182357679121,16153.539619794698,0.0098371864079179,0.0098391386962291,452.4242418646013
3,1.0,6362.580064082285,16153.674182983115,0.0098578505103471,0.0098601198410615,457.6647154942651
5,3.0,6099.591401771409,16488.31279875245,0.0105628131102207,0.0105529048025479,447.0718288924575
4,1.0,6363.573274898168,16155.245522580924,0.0098647787465212,0.0098663560977718,452.2330717695262
5,4.0,15631.617333712056,30221.13924336992,0.0092418325538554,0.0092382895895904,534.765786340668
0,2.0,6389.838924071344,16570.889849297237,0.0099755912711109,0.0099649787249426,455.6889647257391
5,5.0,7162.563548062288,17705.15191099234,0.0115330111030419,0.011543325433231,459.2423336454469
4,2.0,6387.540153872047,16578.472045537783,0.0099724106627519,0.009961387109752,459.1305415258073
3,2.0,6386.0726919221925,16587.007002925733,0.0099356170892781,0.0099246974554198,455.67983269883234
5,6.0,5513.073967249715,16361.183116659406,0.0076576813517064,0.0076704962311176,445.2057460395383
5,7.0,16462.320495786145,38300.06766063348,0.0015184471699634,0.0015118557463671,546.4947540096882
1,3.0,6034.135637127154,16487.333704478573,0.0104483837062345,0.0104393183920277,447.4258520081635
0,3.0,6103.175686432689,16492.046522903023,0.0104198510716625,0.0104107415177992,447.0460911261889
4,3.0,6102.388960324111,16493.124468671624,0.0103689859949867,0.0103613245240011,451.4695799493297
3,3.0,6102.58037146274,16490.140628005378,0.010380622419399,0.0103715018181662,447.4046315810715
5,8.0,16745.695910828188,38462.175509406254,0.0013022270466974,0.0012977174377881,553.6359735429751
5,9.0,5848.494887329929,16557.041890152264,0.0095909666684569,0.0096009284711099,451.5688086403391
4,4.0,5827.998047568544,16810.820349264657,0.0108238807925931,0.0108366839599892,446.4329977888209
0,4.0,5829.887464036176,16815.527621242683,0.010932940149486,0.0109439930748775,448.4881743640933
1,4.0,5787.19957859756,16848.94509950513,0.010838317907918,0.010849584920633,448.4535668295255
3,4.0,5786.180256257241,16846.915997436736,0.0108321570054177,0.010843278820419,448.5405982334656
0,5.0,7171.1788370625,17698.694663498085,0.0115294320650503,0.0115398899294426,458.8675847641928
4,5.0,7166.693647752516,17696.330761550227,0.0115455725929229,0.0115558289578771,458.8670933231292
3,5.0,7167.757100053073,17695.507331709843,0.0115224499184997,0.0115327279820312,458.9149124505491
0,6.0,5504.912027852202,16366.819221190644,0.007636025991064,0.0076488716710668,445.2869357848531
4,6.0,12405.772526927292,38342.90156113356,0.0009531042722315,0.0009492184774113,547.2380540744925
3,6.0,12644.1289612744,38333.91961333156,0.0009541654412382,0.0009503669341509,547.6203134121142
0,7.0,7061.1948679490015,18131.04087482067,0.0124320783766787,0.0124295886444414,461.61083849971646
4,7.0,7058.200825721433,18144.325937763788,0.0123359499005994,0.0123321271898192,462.9182798225215
1,6.0,5478.568872576347,16407.330310421414,0.0076510293792218,0.0076638245081684,445.49187485091966
4,8.0,5839.953734747716,16936.664036097704,0.0105608749190764,0.0105693752204356,451.6074244081885
0,9.0,5851.926010762341,16547.053422970464,0.0096646725044832,0.009675042563888,451.6857107680205
4,9.0,5851.644476953428,16545.93728711526,0.009657042863898,0.0096673214333938,451.4486580272144
3,8.0,5836.974885159521,16940.333595260046,0.0105120579745592,0.0105202050351941,451.4540725731383
1,8.0,5797.24247044645,16952.937550899806,0.0104899852727916,0.0104983831361216,451.2027356928672
3,9.0,5852.444654729276,16548.229630421847,0.0096671210502293,0.0096774965341096,451.6766369955392
1,9.0,5833.8989377704565,16575.51003380562,0.009691255427927259,0.009701609738156045,451.87396453834504
