seed,fold_number,elbo,accuracy,log_prob
1,4,-43282.15445913444,0.8571428571428571,-3.9878268407901727
15,4,-43634.019517017296,1.0,-1.0142127460243675
10,5,-43150.59971774876,0.7142857142857142,-7.787644168594402
1,6,-43336.72838077514,0.4285714285714285,-14.56231551425406
15,5,-43022.34982201585,0.7142857142857142,-8.101170710625265
10,6,-43402.69983350916,0.5714285714285714,-9.265133768349427
1,7,-43759.82055849192,0.4285714285714285,-11.405761018281297
15,6,-43490.73914209317,0.4285714285714285,-10.61641650159346
10,7,-43379.00615844573,0.7142857142857142,-7.15938369086458
1,8,-43259.06161491456,0.4285714285714285,-6.938226836892744
15,7,-43350.293059065705,0.5714285714285714,-11.309650356046088
10,8,-43405.53759797971,1.0,-1.6468962874867596
1,9,-43323.779397671286,0.8571428571428571,-5.246930251417686
15,8,-43297.541966452496,0.5714285714285714,-4.717702714230868
10,9,-43298.79650427116,0.8571428571428571,-5.462247572920358
2,0,-43290.47571594804,0.7142857142857142,-6.316359702160344
15,9,-43136.084847399965,0.8571428571428571,-5.45517944854715
11,0,-43276.64025304513,0.8571428571428571,-5.521244575642358
2,1,-43222.87477249763,0.2857142857142857,-10.049089831655172
16,0,-43622.9990040579,0.5714285714285714,-8.078935325479415
11,1,-43071.03469020774,0.2857142857142857,-11.49568493718946
2,2,-43541.061331485456,0.7142857142857142,-6.116683185250614
16,1,-43103.17919904692,0.7142857142857142,-9.640591153565374
11,2,-43446.06939137512,0.7142857142857142,-5.808137383068597
16,2,-43236.01832791301,0.8571428571428571,-4.959042700174646
2,3,-43341.03469785792,0.8571428571428571,-4.150459167101652
11,3,-43762.73133510316,0.7142857142857142,-6.333037094504249
4,6,-43395.87531660055,0.8571428571428571,-6.014339495063154
16,3,-43842.93775072391,0.7142857142857142,-4.7973116315813735
2,4,-43436.74801286316,0.7142857142857142,-3.2859542343970576
11,4,-43505.10936960374,1.0,-0.9525855555352882
16,4,-43685.54810387967,0.7142857142857142,-5.939249998459999
2,5,-43284.54821031843,0.7142857142857142,-4.129398759585257
11,5,-43531.842306376086,0.7142857142857142,-7.597776771257502
16,5,-43361.07003340451,0.7142857142857142,-4.508568829370998
2,6,-43445.09187573864,0.5714285714285714,-12.042109965329818
11,6,-43673.66205370618,0.4285714285714285,-13.756051491224913
16,6,-43287.0509085253,0.7142857142857142,-6.270483144170429
2,7,-43234.22111529124,0.5714285714285714,-9.853584626646969
11,7,-43368.69694865984,0.7142857142857142,-9.865490545081546
16,7,-43461.68173533067,0.5714285714285714,-10.793532804377412
2,8,-43261.89668533346,0.7142857142857142,-4.61028110761695
11,8,-43472.70650108362,0.7142857142857142,-3.493090179692412
16,8,-43422.05998099461,0.7142857142857142,-3.522609027713446
2,9,-43174.03719635034,0.7142857142857142,-8.604097255652869
11,9,-43423.26644418028,0.5714285714285714,-10.469998430565704
16,9,-43136.52465059492,0.7142857142857142,-6.343369594658196
3,1,-43278.7721506785,0.4285714285714285,-13.267428946467064
12,0,-43283.10949863313,0.8571428571428571,-4.11992297884675
17,0,-43185.76008472603,0.8571428571428571,-4.384244243735183
3,2,-43160.92222565197,0.7142857142857142,-6.237053968801282
12,1,-43308.18921295798,0.2857142857142857,-14.82940872709924
17,1,-43143.00091838674,0.2857142857142857,-14.465890290645598
3,3,-43516.90931630647,1.0,-1.1046876720521082
12,2,-43242.670160531416,0.7142857142857142,-3.5344170609145085
17,2,-43333.034663721046,0.7142857142857142,-3.9415054871435777
