seed,fold_number,mll,accuracy,num_pca_dims,log_prob
0,0,-1.3862926871020511,0.4285714285714285,2,-9.70402805206168
1,0,-1.3862876397636277,0.1428571428571428,3,-9.704168553042
2,0,-1.3862940584049928,0.0,6,-9.703995171231703
3,0,-1.3862886277163842,0.0,3,-9.704232788621596
4,0,-1.3862960376974671,0.1428571428571428,4,-9.70407710097935
0,1,-1.3862766947133074,0.7142857142857143,4,-9.703732753784456
1,1,-1.386282645173588,0.1428571428571428,3,-9.70414797058542
2,1,-1.3863289579475446,0.1428571428571428,5,-9.704721859104614
3,1,-1.386311526792183,0.2857142857142857,5,-9.704108749025911
4,1,-1.3863134697803017,0.0,7,-9.704212587719862
0,2,-1.3863018481496228,0.4285714285714285,7,-9.704026602647456
1,2,-1.3862838886182165,0.4285714285714285,3,-9.704031444370344
2,2,-1.38629471676317,0.1428571428571428,7,-9.70422905281437
3,2,-1.3862853173419791,0.2857142857142857,3,-9.703996281604343
4,2,-1.38630505415533,0.1428571428571428,7,-9.704382709723198
0,3,-1.3862953514760028,0.4285714285714285,6,-9.704046373462528
1,3,-1.3862803521543374,0.1428571428571428,3,-9.7041609825183
2,3,-1.3862940256502283,0.0,7,-9.704318401340547
3,3,-1.3862884125822434,0.1428571428571428,3,-9.70443763734594
4,3,-1.3862948716032046,0.4285714285714285,4,-9.703825503299196
0,4,-1.3862976076182347,0.2857142857142857,6,-9.704203757058574
1,4,-1.3862656428535374,0.4285714285714285,3,-9.70352938252432
2,4,-1.38629717571237,0.4285714285714285,7,-9.703880654585287
3,4,-1.3863069676321484,0.1428571428571428,5,-9.70412840061795
4,4,-1.3862896723573133,0.1428571428571428,5,-9.703938464391635
0,5,-1.3862858824689004,0.2857142857142857,2,-9.70413200918826
1,5,-1.3863015610001157,0.4285714285714285,5,-9.70375479180834
2,5,-1.351713479814356,0.1428571428571428,1,-10.055043483523248
3,5,-1.3862885463284602,0.2857142857142857,3,-9.703911697061637
4,5,-1.3863157137512498,0.4285714285714285,7,-9.704022499096173
0,6,-1.3862940025591055,0.1428571428571428,2,-9.70468616882231
1,6,-1.3862811262848906,0.4285714285714285,2,-9.70391045726252
2,6,-1.386296899418015,0.2857142857142857,3,-9.703991008195455
3,6,-1.386300211559351,0.2857142857142857,6,-9.70413399580938
4,6,-1.3860573196521282,0.0,2,-9.707793041286529
0,7,-1.386293091498782,0.1428571428571428,7,-9.70417773876413
1,7,-1.3862959052523294,0.4285714285714285,7,-9.70390340155656
2,7,-1.2780456408702268,0.1428571428571428,1,-10.107925867817656
3,7,-1.386310746431275,0.2857142857142857,7,-9.703889028989964
4,7,-1.3862905052271437,0.2857142857142857,5,-9.704113034641084
0,8,-1.386286342281574,0.2857142857142857,2,-9.703516753022296
1,8,-1.3862967642487465,0.2857142857142857,7,-9.704101631121596
2,8,-1.100284257417835,0.2857142857142857,1,-9.150817218770015
3,8,-1.3862996319656082,0.2857142857142857,6,-9.70395561816668
4,8,-1.3862900663855615,0.2857142857142857,5,-9.70376390356432
0,9,-1.3862941132249649,0.5714285714285714,2,-9.703935655655489
1,9,-1.3862983883730116,0.1428571428571428,3,-9.704216770196236
2,9,-1.3862986737336889,0.0,3,-9.704143028680429
3,9,-1.2939512785338767,0.1428571428571428,1,-9.928135522707205
4,9,-1.3862930716526618,0.5714285714285714,5,-9.703775246133066
0,0,-1.3695795180923895,0.5714285714285714,1,-9.642794113419592
0,0,-1.386181858046124,0.1428571428571428,2,-9.7234386799347
0,0,-1.386400601225065,0.0,3,-9.712919012232843
0,0,-1.3857526343646576,0.4285714285714285,4,-9.70263953597909
0,0,-1.3861565697074347,0.4285714285714285,5,-9.697394433028498
0,0,-1.3862913842999267,0.4285714285714285,6,-9.701724126034978
0,0,-1.3859708960571868,0.2857142857142857,7,-9.703089570682328
0,0,-1.386069375592911,0.1428571428571428,8,-9.694533496890106
0,1,-1.3295682643553466,0.0,1,-11.900003090850037
0,1,-0.8147187067312618,0.4285714285714285,2,-14.919803007502903
0,1,-1.3862746739087817,0.5714285714285714,3,-9.69892134887329
0,1,-1.3856637441341613,0.1428571428571428,4,-9.735048981175016
0,1,-1.3862866068565078,0.5714285714285714,5,-9.69807764065997
0,1,-1.3861938925238837,0.2857142857142857,6,-9.700013883087786
0,1,-1.385846139534108,0.2857142857142857,7,-9.711367596121011
0,1,-1.3862916107545271,0.4285714285714285,8,-9.704079557121958
0,2,-1.315403572462321,0.4285714285714285,1,-8.749280333280039
0,2,-1.3320587582439982,0.1428571428571428,2,-10.0197186805681
0,2,-1.3864287148847003,0.7142857142857143,3,-9.69397608931249
0,2,-1.3859040460764345,0.2857142857142857,4,-9.695462305519584
0,2,-1.386283256072077,0.4285714285714285,5,-9.708658236844636
0,2,-1.386077608001143,0.1428571428571428,6,-9.71002281628179
0,2,-1.3859436008085206,0.1428571428571428,7,-9.715395676285423
